gene_id,symbol,all_symbols,source_group,go_ids,go_names
641,BLM,BLM,GO10,GO:0000228;GO:0000724;GO:0000729;GO:0000800;GO:0006281;GO:0006974;GO:0007095,DNA damage response;DNA double-strand break processing;DNA repair;double-strand break repair via homologous recombination;lateral element;mitotic G2 DNA damage checkpoint signaling;nuclear chromosome
64102,TNMD,TNMD,GO10,GO:0005635,nuclear envelope
64112,MOAP1,MOAP1,GO10,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
64151,NCAPG,NCAPG,GO10,GO:0000794,condensed nuclear chromosome
6419,SETMAR,SETMAR,GO10,GO:0000729;GO:0006281;GO:0006303;GO:0006974,DNA damage response;DNA double-strand break processing;DNA repair;double-strand break repair via nonhomologous end joining
6421,SFPQ,SFPQ,GO10,GO:0000724;GO:0006281;GO:0006974,DNA damage response;DNA repair;double-strand break repair via homologous recombination
64210,MMS19,MMS19,GO10,GO:0006281;GO:0006974,DNA damage response;DNA repair
64215,DNAJC1,DNAJC1,GO10,GO:0031965,nuclear membrane
64222,TOR3A,TOR3A,GO10,GO:0005635,nuclear envelope
64223,MLST8,MLST8,GO10,GO:0006974,DNA damage response
642636,RAD21L1,RAD21L1,GO10,GO:1990414,replication-born double-strand break repair via sister chromatid exchange
64328,XPO4,XPO4,GO10,GO:0005643,nuclear pore
6434,TRA2B,TRA2B,GO10,GO:0005637,nuclear inner membrane
64393,ZMAT3,ZMAT3,GO10,GO:0006974,DNA damage response
64400,AKTIP,AKTIP,GO10,GO:0006301,DNA damage tolerance
64418,TMEM168,TMEM168,GO10,GO:0031965,nuclear membrane
644186,SYCE3,SYCE3,GO10,GO:0000794;GO:0000795;GO:0000801,central element;condensed nuclear chromosome;synaptonemal complex
64421,DCLRE1C,DCLRE1C,GO10,GO:0006281;GO:0006302;GO:0006303;GO:0006974;GO:0036297,DNA damage response;DNA repair;double-strand break repair;double-strand break repair via nonhomologous end joining;interstrand cross-link repair
64426,SUDS3,SUDS3,GO10,GO:0070822,Sin3-type complex
64431,ACTR6,ACTR6,GO10,GO:0000812,Swr1 complex
6446,SGK1,SGK1,GO10,GO:0006974,DNA damage response
6453,ITSN1,ITSN1,GO10,GO:0005635,nuclear envelope
