gene_id,symbol,all_symbols,go_ids,go_names
1025,CDK9,CDK9,GO:0005654;GO:0006281;GO:0006974;GO:0008023;GO:0008024;GO:0016605;GO:0070691,cyclin/CDK positive transcription elongation factor complex;DNA damage response;DNA repair;nucleoplasm;P-TEFb complex;PML body;transcription elongation factor complex
10250,SRRM1,SRRM1,GO:0005654;GO:0005681;GO:0016363;GO:0016607;GO:0071006;GO:0071013;GO:0071018,catalytic step 2 spliceosome;nuclear matrix;nuclear speck;nucleoplasm;spliceosomal complex;U12-type catalytic step 2 spliceosome;U2-type catalytic step 1 spliceosome
1026,CDKN1A,CDKN1A,GO:0005654;GO:0005730;GO:0006974;GO:0007095;GO:0016604;GO:0030330;GO:0031571;GO:0042771;GO:0070557,"DNA damage response;DNA damage response, signal transduction by p53 class mediator;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;mitotic G1 DNA damage checkpoint signaling;mitotic G2 DNA damage checkpoint signaling;nuclear body;nucleolus;nucleoplasm;PCNA-p21 complex"
10262,SF3B4,SF3B4,GO:0005654;GO:0005681;GO:0005684;GO:0005686;GO:0005689;GO:0034693;GO:0071005;GO:0071006;GO:0071011;GO:0071016;GO:0071018,nucleoplasm;precatalytic spliceosome;spliceosomal complex;U11/U12 snRNP;U12-type catalytic step 2 spliceosome;U12-type precatalytic spliceosome;U12-type spliceosomal complex;U2 snRNP;U2-type catalytic step 1 spliceosome;U2-type precatalytic spliceosome;U2-type spliceosomal complex
10263,CDK2AP2,CDK2AP2,GO:0016581,NuRD complex
10269,ZMPSTE24,ZMPSTE24,GO:0005635;GO:0005637;GO:0006281;GO:0006974,DNA damage response;DNA repair;nuclear envelope;nuclear inner membrane
1027,CDKN1B,CDKN1B,GO:0005654;GO:0030330,"DNA damage response, signal transduction by p53 class mediator;nucleoplasm"
10270,AKAP8,AKAP8,GO:0005654;GO:0005730;GO:0016363,nuclear matrix;nucleolus;nucleoplasm
10272,FSTL3,FSTL3,GO:0005654,nucleoplasm
10273,STUB1,STUB1,GO:0005654;GO:0006281;GO:0006974,DNA damage response;DNA repair;nucleoplasm
10274,STAG1,STAG1,GO:0005654;GO:0016363;GO:0016604,nuclear body;nuclear matrix;nucleoplasm
10280,SIGMAR1,SIGMAR1,GO:0005635;GO:0005637;GO:0005640,nuclear envelope;nuclear inner membrane;nuclear outer membrane
10283,CWC27,CWC27,GO:0005654;GO:0005681;GO:0071005;GO:0071013;GO:0071018,catalytic step 2 spliceosome;nucleoplasm;spliceosomal complex;U12-type catalytic step 2 spliceosome;U2-type precatalytic spliceosome
10284,SAP18,SAP18,GO:0000118;GO:0005654;GO:0016604;GO:0016607;GO:0035145,exon-exon junction complex;histone deacetylase complex;nuclear body;nuclear speck;nucleoplasm
10285,SMNDC1,SMNDC1,GO:0005654;GO:0005681;GO:0015030;GO:0016604;GO:0016607,Cajal body;nuclear body;nuclear speck;nucleoplasm;spliceosomal complex
10286,BCAS2,BCAS2,GO:0005654;GO:0005662;GO:0005681;GO:0005730;GO:0016607;GO:0071006;GO:0071007;GO:0071013;GO:0071014;GO:0071020,catalytic step 2 spliceosome;DNA replication factor A complex;nuclear speck;nucleolus;nucleoplasm;post-mRNA release spliceosomal complex;post-spliceosomal complex;spliceosomal complex;U2-type catalytic step 1 spliceosome;U2-type catalytic step 2 spliceosome
