symbol,go_ids,go_names,evidence_set,eco_set,refs,gene_products,assigned_by,n_annotations
SSU72L6,GO:0005847,mRNA cleavage and polyadenylation specificity factor complex,IBA,ECO:0000318,GO_REF:0000033,A0A1W2PR75,GO_Central,1
STAG3,GO:0000795,synaptonemal complex,TAS,ECO:0000304,PMID:10698974,Q9UJ98,PINC,1
STAT1,GO:0070721;GO:0090575,ISGF3 complex;RNA polymerase II transcription regulator complex,IBA;IPI;NAS,ECO:0000318;ECO:0000353;ECO:0005547,GO_REF:0000033;PMID:24058793;PMID:24065129;PMID:8662591;PMID:9630226,P42224,ComplexPortal;GO_Central,5
STAT2,GO:0070721;GO:0090575,ISGF3 complex;RNA polymerase II transcription regulator complex,IBA;IPI;NAS,ECO:0000318;ECO:0000353;ECO:0005547,GO_REF:0000033;PMID:24058793;PMID:24065129,P52630,ComplexPortal;GO_Central,3
STAT3,GO:0090575,RNA polymerase II transcription regulator complex,IBA;IC;IMP;IPI;NAS,ECO:0000305;ECO:0000315;ECO:0000318;ECO:0000353;ECO:0005547,GO_REF:0000033;PMID:16835372;PMID:16946298;PMID:17676033;PMID:24058793;PMID:8662591,P40763,BHF-UCL;ComplexPortal;GO_Central,6
STAT4,GO:0090575,RNA polymerase II transcription regulator complex,IBA;IPI;NAS,ECO:0000318;ECO:0000353;ECO:0005547,GO_REF:0000033;PMID:18591661;PMID:24058793,Q14765,ComplexPortal;GO_Central,3
STAT5A,GO:0090575,RNA polymerase II transcription regulator complex,IBA;NAS,ECO:0000318;ECO:0005547,GO_REF:0000033;PMID:24058793,P42229,ComplexPortal;GO_Central,2
STAT5B,GO:0090575,RNA polymerase II transcription regulator complex,IBA;NAS,ECO:0000318;ECO:0005547,GO_REF:0000033;PMID:24058793,P51692,ComplexPortal;GO_Central,2
STAT6,GO:0090575,RNA polymerase II transcription regulator complex,IBA;IPI;NAS,ECO:0000318;ECO:0000353;ECO:0005547,GO_REF:0000033;PMID:22000020;PMID:24058793,P42226,ComplexPortal;GO_Central,3
STN1,GO:1990879,CST complex,IBA;IDA,ECO:0000314;ECO:0000318,GO_REF:0000033;PMID:19854130;PMID:22763445,Q9H668,BHF-UCL;GO_Central,3
SUDS3,GO:0070822,Sin3-type complex,IBA;ISS;NAS,ECO:0000250;ECO:0000318;ECO:0005547,GO_REF:0000033;PMID:11909966;PMID:28554894,Q9H7L9,ComplexPortal;GO_Central;UniProt,3
SUMO1,GO:0005643;GO:0031965,nuclear membrane;nuclear pore,IDA;TAS,ECO:0000304;ECO:0000314,GO_REF:0000052;PMID:9019411,B8ZZ67;B8ZZJ0;B8ZZN6;B9A032;P63165,HPA;PINC,6
SUN1,GO:0005635;GO:0031965;GO:0034993,meiotic nuclear membrane microtubule tethering complex;nuclear envelope;nuclear membrane,IBA;IDA;IMP;IPI;ISS,ECO:0000314;ECO:0000315;ECO:0000318;ECO:0000353;ECO:0005546,GO_REF:0000033;GO_REF:0000052;GO_REF:0000114;PMID:18396275;PMID:19933576;PMID:21610090;PMID:22632968;PMID:33058875;PMID:33393904;PMID:38291267,A0A8I5G938;C9JJU6;C9JK55;C9JR15;C9JS54;C9K051;E9PHI4;H0Y6N5;H0Y742;H7C019;H7C3X3;O94901,ComplexPortal;GO_Central;HPA;UniProt,22
SUN2,GO:0005635;GO:0031965;GO:0034993,meiotic nuclear membrane microtubule tethering complex;nuclear envelope;nuclear membrane,IBA;IDA;IPI;TAS,ECO:0000304;ECO:0000314;ECO:0000318;ECO:0000353,GO_REF:0000033;GO_REF:0000052;PMID:10375507;PMID:16380439;PMID:18396275;PMID:19933576;PMID:21610090;PMID:22632968;PMID:33058875;PMID:33393904,A0A8I5QKM0;B0QY60;B0QY63;B0QY64;B0QY66;B0QY67;B0QY68;B0QY69;Q9UH99,ComplexPortal;GO_Central;HPA;MGI;UniProt,19
SUN3,GO:0005635;GO:0034993,meiotic nuclear membrane microtubule tethering complex;nuclear envelope,IBA,ECO:0000318,GO_REF:0000033,Q8TAQ9,GO_Central,2
SUN5,GO:0005635;GO:0005637;GO:0034993,meiotic nuclear membrane microtubule tethering complex;nuclear envelope;nuclear inner membrane,IBA;IDA,ECO:0000314;ECO:0000318,GO_REF:0000033;PMID:27640305,Q8TC36,GO_Central;UniProt,3
SUPT16H,GO:0035101,FACT complex,IBA;IPI,ECO:0000318;ECO:0000353,GO_REF:0000033;PMID:16902406,Q9Y5B9,ComplexPortal;GO_Central,2
SUPT3H,GO:0033276,transcription factor TFTC complex,IDA;NAS,ECO:0000314;ECO:0005547,PMID:10373431,O75486,ComplexPortal;UniProt,2
SUPT4H1,GO:0032044,DSIF complex,IBA;IDA;IPI,ECO:0000314;ECO:0000318;ECO:0000353,GO_REF:0000033;PMID:19860741;PMID:9450929,P63272,ComplexPortal;GO_Central;UniProt,4
SUPT5H,GO:0032044,DSIF complex,IBA;IDA;IPI,ECO:0000314;ECO:0000318;ECO:0000353,GO_REF:0000033;PMID:19860741;PMID:9450929,O00267,ComplexPortal;GO_Central;UniProt,4
SUPT6H,GO:0008023,transcription elongation factor complex,IBA,ECO:0000318,GO_REF:0000033,Q7KZ85,GO_Central,1
SUV39H1,GO:0000794;GO:0005677;GO:0061773,chromatin silencing complex;condensed nuclear chromosome;eNoSc complex,IDA;IPI;TAS,ECO:0000304;ECO:0000314;ECO:0000353,PMID:10202156;PMID:18485871,O43463,ComplexPortal;PINC;UniProt,3
SUZ12,GO:0016586;GO:0035098,ESC/E(Z) complex;RSC-type complex,IBA;IDA;IMP;IPI;ISS;NAS,ECO:0000314;ECO:0000315;ECO:0000318;ECO:0000353;ECO:0005546;ECO:0005547,GO_REF:0000033;GO_REF:0000114;PMID:15385962;PMID:20075857;PMID:23104054;PMID:23273982;PMID:29348366;PMID:33514705;PMID:35800061,Q15022,ComplexPortal;GO_Central;MGI;UniProt,10
SWI5,GO:0000228;GO:0032798,nuclear chromosome;Swi5-Sfr1 complex,IBA;IDA;IPI;NAS,ECO:0000314;ECO:0000318;ECO:0000353;ECO:0005547,GO_REF:0000033;PMID:21252223,Q1ZZU3,ComplexPortal;GO_Central;UniProt,4
SYCE1,GO:0000794;GO:0000795;GO:0000801,central element;condensed nuclear chromosome;synaptonemal complex,IBA;ISS;NAS,ECO:0000250;ECO:0000318;ECO:0005547,GO_REF:0000033;PMID:15944401;PMID:27142324,Q8N0S2,ComplexPortal;GO_Central;HGNC-UCL,4
SYCE1L,GO:0000795,synaptonemal complex,IBA,ECO:0000318,GO_REF:0000033,A8MT33,GO_Central,1
SYCE2,GO:0000794;GO:0000795;GO:0000801,central element;condensed nuclear chromosome;synaptonemal complex,IBA;ISS;NAS,ECO:0000250;ECO:0000318;ECO:0005547,GO_REF:0000024;GO_REF:0000033;PMID:27142324,Q6PIF2,ComplexPortal;GO_Central;HGNC,4
SYCE3,GO:0000794;GO:0000795;GO:0000801,central element;condensed nuclear chromosome;synaptonemal complex,IBA;ISS;NAS,ECO:0000250;ECO:0000318;ECO:0005547,GO_REF:0000024;GO_REF:0000033;PMID:27142324,A1L190,ComplexPortal;GO_Central;UniProt,4
SYCP1,GO:0000794;GO:0000795;GO:0000801;GO:0000802,central element;condensed nuclear chromosome;synaptonemal complex;transverse filament,IBA;ISS;NAS,ECO:0000250;ECO:0000318;ECO:0005547,GO_REF:0000024;GO_REF:0000033;PMID:27142324,Q15431,ComplexPortal;GO_Central;UniProt,5
