symbol,source_group,go_ids,go_names
FIP1L1,GO8,GO:0005847,mRNA cleavage and polyadenylation specificity factor complex
FKBP6,GO8,GO:0000795,synaptonemal complex
FLNA,GO8,GO:0031523,Myb complex
FLOT1,GO8,GO:0008180,COP9 signalosome
FLYWCH1,GO8,GO:0006974,DNA damage response
FMN2,GO8,GO:0006974,DNA damage response
FMR1,GO8,GO:0006281;GO:0006974,DNA damage response;DNA repair
FNIP2,GO8,GO:0006974;GO:0008630,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage
FOS,GO8,GO:0035976;GO:0090575,RNA polymerase II transcription regulator complex;transcription factor AP-1 complex
FOSL1,GO8,GO:0090575,RNA polymerase II transcription regulator complex
FOSL2,GO8,GO:0035976;GO:0090575,RNA polymerase II transcription regulator complex;transcription factor AP-1 complex
FOXH1,GO8,GO:0032444,activin responsive factor complex
FOXM1,GO8,GO:0006281;GO:0006974;GO:0030330;GO:0090575,"DNA damage response;DNA damage response, signal transduction by p53 class mediator;DNA repair;RNA polymerase II transcription regulator complex"
FOXN3,GO8,GO:0007095,mitotic G2 DNA damage checkpoint signaling
FOXO1,GO8,GO:0006974,DNA damage response
FOXO3,GO8,GO:0030330;GO:0090571,"DNA damage response, signal transduction by p53 class mediator;RNA polymerase II transcription repressor complex"
FOXO4,GO8,GO:0007095,mitotic G2 DNA damage checkpoint signaling
FOXP1,GO8,GO:0006974,DNA damage response
FRG1,GO8,GO:0005681;GO:0071006;GO:0071013,catalytic step 2 spliceosome;spliceosomal complex;U2-type catalytic step 1 spliceosome
FTO,GO8,GO:0006307,DNA alkylation repair
FYTTD1,GO8,GO:0000346,transcription export complex
FZR1,GO8,GO:0005680;GO:0006281;GO:0006974;GO:0007095,anaphase-promoting complex;DNA damage response;DNA repair;mitotic G2 DNA damage checkpoint signaling
GADD45A,GO8,GO:0006281;GO:0006974;GO:0042770,DNA damage response;DNA repair;signal transduction in response to DNA damage
GAR1,GO8,GO:0005697;GO:0031429;GO:0072589;GO:0090661,box H/ACA scaRNP complex;box H/ACA snoRNP complex;box H/ACA telomerase RNP complex;telomerase holoenzyme complex
GATA4,GO8,GO:0090575,RNA polymerase II transcription regulator complex
GATAD2A,GO8,GO:0016581,NuRD complex
GATAD2B,GO8,GO:0016581,NuRD complex
GCFC2,GO8,GO:0071008,U2-type post-mRNA release spliceosomal complex
GEMIN2,GO8,GO:0005681,spliceosomal complex
GEMIN4,GO8,GO:0030532,small nuclear ribonucleoprotein complex
GEMIN5,GO8,GO:0034718,SMN-Gemin2 complex
GEN1,GO8,GO:0000724;GO:0006281;GO:0006974,DNA damage response;DNA repair;double-strand break repair via homologous recombination
GFI1,GO8,GO:0006974,DNA damage response
GGN,GO8,GO:0006302,double-strand break repair
GIGYF2,GO8,GO:0031571,mitotic G1 DNA damage checkpoint signaling
GINS1,GO8,GO:0000811;GO:0071162,CMG complex;GINS complex
GINS2,GO8,GO:0000727;GO:0000811;GO:0071162,CMG complex;double-strand break repair via break-induced replication;GINS complex
GINS3,GO8,GO:0000811;GO:0071162,CMG complex;GINS complex
GINS4,GO8,GO:0000727;GO:0000811;GO:0071162,CMG complex;double-strand break repair via break-induced replication;GINS complex
GLE1,GO8,GO:0005643;GO:0044614,nuclear pore;nuclear pore cytoplasmic filaments
GML,GO8,GO:0030330,"DNA damage response, signal transduction by p53 class mediator"
GNB1L,GO8,GO:0000077;GO:0006974,DNA damage checkpoint signaling;DNA damage response
GNL1,GO8,GO:0006974,DNA damage response
GNL3L,GO8,GO:0005697,telomerase holoenzyme complex
GPATCH1,GO8,GO:0071013,catalytic step 2 spliceosome
GPKOW,GO8,GO:0005681;GO:0071018,spliceosomal complex;U12-type catalytic step 2 spliceosome
GPS1,GO8,GO:0008180,COP9 signalosome
GRAP,GO8,GO:0008180,COP9 signalosome
GRB2,GO8,GO:0008180;GO:0042770,COP9 signalosome;signal transduction in response to DNA damage
GTF2A1,GO8,GO:0005669;GO:0005672,transcription factor TFIIA complex;transcription factor TFIID complex
GTF2A1L,GO8,GO:0005672,transcription factor TFIIA complex
GTF2A2,GO8,GO:0005669;GO:0005672,transcription factor TFIIA complex;transcription factor TFIID complex
GTF2B,GO8,GO:0005669;GO:0090575,RNA polymerase II transcription regulator complex;transcription factor TFIID complex
GTF2E1,GO8,GO:0005669;GO:0005673,transcription factor TFIID complex;transcription factor TFIIE complex
GTF2E2,GO8,GO:0005669;GO:0005673,transcription factor TFIID complex;transcription factor TFIIE complex
GTF2F1,GO8,GO:0005669;GO:0005674,transcription factor TFIID complex;transcription factor TFIIF complex
GTF2F2,GO8,GO:0005674;GO:0016591;GO:0090575,"RNA polymerase II transcription regulator complex;RNA polymerase II, holoenzyme;transcription factor TFIIF complex"
GTF2H1,GO8,GO:0000439;GO:0005675;GO:0006281;GO:0006289;GO:0006974,DNA damage response;DNA repair;nucleotide-excision repair;transcription factor TFIIH core complex;transcription factor TFIIH holo complex
GTF2H2,GO8,GO:0000438;GO:0000439;GO:0005669;GO:0005675;GO:0006281;GO:0006289;GO:0006974,core TFIIH complex portion of holo TFIIH complex;DNA damage response;DNA repair;nucleotide-excision repair;transcription factor TFIID complex;transcription factor TFIIH core complex;transcription factor TFIIH holo complex
GTF2H2C,GO8,GO:0000439;GO:0005675;GO:0006281;GO:0006289;GO:0006974,DNA damage response;DNA repair;nucleotide-excision repair;transcription factor TFIIH core complex;transcription factor TFIIH holo complex
GTF2H3,GO8,GO:0000438;GO:0000439;GO:0005669;GO:0005675;GO:0006281;GO:0006289;GO:0006974,core TFIIH complex portion of holo TFIIH complex;DNA damage response;DNA repair;nucleotide-excision repair;transcription factor TFIID complex;transcription factor TFIIH core complex;transcription factor TFIIH holo complex
GTF2H4,GO8,GO:0000438;GO:0000439;GO:0005669;GO:0005675;GO:0006281;GO:0006289;GO:0006974,core TFIIH complex portion of holo TFIIH complex;DNA damage response;DNA repair;nucleotide-excision repair;transcription factor TFIID complex;transcription factor TFIIH core complex;transcription factor TFIIH holo complex
GTF2H5,GO8,GO:0000439;GO:0005669;GO:0005675;GO:0006281;GO:0006289;GO:0006294;GO:0006974,"DNA damage response;DNA repair;nucleotide-excision repair;nucleotide-excision repair, preincision complex assembly;transcription factor TFIID complex;transcription factor TFIIH core complex;transcription factor TFIIH holo complex"
GTSE1,GO8,GO:0030330,"DNA damage response, signal transduction by p53 class mediator"
HAND1,GO8,GO:0090575,RNA polymerase II transcription regulator complex
HAVCR2,GO8,GO:0016592,mediator complex
HCFC1,GO8,GO:0035097;GO:0044665;GO:0048188;GO:0071339,histone methyltransferase complex;MLL1 complex;MLL1/2 complex;Set1C/COMPASS complex
HCFC2,GO8,GO:0035097;GO:0044665;GO:0048188;GO:0071339,histone methyltransferase complex;MLL1 complex;MLL1/2 complex;Set1C/COMPASS complex
HDAC1,GO8,GO:0000118;GO:0016581;GO:0070822,histone deacetylase complex;NuRD complex;Sin3-type complex
HDAC10,GO8,GO:0000118;GO:0006281;GO:0006974,DNA damage response;DNA repair;histone deacetylase complex
HDAC11,GO8,GO:0000118,histone deacetylase complex
HDAC2,GO8,GO:0000118;GO:0016581;GO:0035098;GO:0070822,ESC/E(Z) complex;histone deacetylase complex;NuRD complex;Sin3-type complex
HDAC3,GO8,GO:0000118;GO:0046826;GO:0140861,DNA repair-dependent chromatin remodeling;histone deacetylase complex;negative regulation of protein export from nucleus
HDAC4,GO8,GO:0000118,histone deacetylase complex
HDAC5,GO8,GO:0000118,histone deacetylase complex
HDAC6,GO8,GO:0000118,histone deacetylase complex
HDAC7,GO8,GO:0000118,histone deacetylase complex
HDAC8,GO8,GO:0000118;GO:0000228,histone deacetylase complex;nuclear chromosome
HDAC9,GO8,GO:0000118;GO:0035097,histone deacetylase complex;histone methyltransferase complex
HEATR1,GO8,GO:0032040;GO:0034455,small-subunit processome;t-UTP complex
HELB,GO8,GO:0005662;GO:0006281;GO:0006974,DNA damage response;DNA repair;DNA replication factor A complex
HELLS,GO8,GO:0000724;GO:0006302,double-strand break repair;double-strand break repair via homologous recombination
HELQ,GO8,GO:0000724;GO:0006281;GO:0006974;GO:0010792;GO:0045003;GO:0097681,DNA damage response;DNA double-strand break processing involved in repair via single-strand annealing;DNA repair;double-strand break repair via alternative nonhomologous end joining;double-strand break repair via homologous recombination;double-strand break repair via synthesis-dependent strand annealing
HERC2,GO8,GO:0006281;GO:0006974,DNA damage response;DNA repair
HEXIM1,GO8,GO:0120259,7SK snRNP
HIC1,GO8,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
HIF1A,GO8,GO:0090575,RNA polymerase II transcription regulator complex
HINFP,GO8,GO:0000077;GO:0006281,DNA damage checkpoint signaling;DNA repair
HINT1,GO8,GO:0000118,histone deacetylase complex
HIPK1,GO8,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
HIPK2,GO8,GO:0006974;GO:0030330;GO:0042771;GO:0090575,"DNA damage response;DNA damage response, signal transduction by p53 class mediator;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;RNA polymerase II transcription regulator complex"
HLF,GO8,GO:0090575,RNA polymerase II transcription regulator complex
HLTF,GO8,GO:0006281;GO:0006974;GO:0043596;GO:0090575,DNA damage response;DNA repair;nuclear replication fork;RNA polymerase II transcription regulator complex
HMCES,GO8,GO:0006281;GO:0006974;GO:0036297;GO:0097681;GO:0106300,DNA damage response;DNA repair;double-strand break repair via alternative nonhomologous end joining;interstrand cross-link repair;protein-DNA covalent cross-linking repair
HMGA1,GO8,GO:0090575,RNA polymerase II transcription regulator complex
HMGA2,GO8,GO:0000228;GO:0006284,base-excision repair;nuclear chromosome
HMGB1,GO8,GO:0006281;GO:0006284;GO:0006302;GO:0006303;GO:0006974,base-excision repair;DNA damage response;DNA repair;double-strand break repair;double-strand break repair via nonhomologous end joining
HMGB2,GO8,GO:0006303,double-strand break repair via nonhomologous end joining
HMGN1,GO8,GO:0000720;GO:0006283,pyrimidine dimer repair by nucleotide-excision repair;transcription-coupled nucleotide-excision repair
HMGXB4,GO8,GO:0016589,NURF complex
HNRNPA1,GO8,GO:0005681;GO:0071013,catalytic step 2 spliceosome;spliceosomal complex
HNRNPA1L2,GO8,GO:0005681;GO:0071013,catalytic step 2 spliceosome;spliceosomal complex
HNRNPA2B1,GO8,GO:0005681;GO:0071013,catalytic step 2 spliceosome;spliceosomal complex
HNRNPA3,GO8,GO:0005681;GO:0071013,catalytic step 2 spliceosome;spliceosomal complex
HNRNPAB,GO8,GO:0090575,RNA polymerase II transcription regulator complex
HNRNPC,GO8,GO:0005681;GO:0005697;GO:0071013,catalytic step 2 spliceosome;spliceosomal complex;telomerase holoenzyme complex
HNRNPF,GO8,GO:0005681;GO:0071013,catalytic step 2 spliceosome;spliceosomal complex
HNRNPH1,GO8,GO:0005681;GO:0071013,catalytic step 2 spliceosome;spliceosomal complex
HNRNPH3,GO8,GO:0005681,spliceosomal complex
HNRNPK,GO8,GO:0005681;GO:0071013,catalytic step 2 spliceosome;spliceosomal complex
HNRNPM,GO8,GO:0005681;GO:0071013,catalytic step 2 spliceosome;spliceosomal complex
HNRNPR,GO8,GO:0005681;GO:0071013,catalytic step 2 spliceosome;spliceosomal complex
HNRNPU,GO8,GO:0000228;GO:0005681;GO:0005697;GO:0051457;GO:0071013;GO:0090575,catalytic step 2 spliceosome;maintenance of protein location in nucleus;nuclear chromosome;RNA polymerase II transcription regulator complex;spliceosomal complex;telomerase holoenzyme complex
HORMAD1,GO8,GO:0000794;GO:0000795,condensed nuclear chromosome;synaptonemal complex
HORMAD2,GO8,GO:0000795,synaptonemal complex
HOXB9,GO8,GO:0090575,RNA polymerase II transcription regulator complex
HR,GO8,GO:0000118,histone deacetylase complex
HSF1,GO8,GO:0006281;GO:0006974,DNA damage response;DNA repair
HSF2BP,GO8,GO:1990918,double-strand break repair involved in meiotic recombination
HSP90AB1,GO8,GO:0008180,COP9 signalosome
HSPA1A,GO8,GO:0008180,COP9 signalosome
HSPA1L,GO8,GO:0008180,COP9 signalosome
HSPA2,GO8,GO:0000795,synaptonemal complex
HSPA5,GO8,GO:0008180,COP9 signalosome
HSPA6,GO8,GO:0008180,COP9 signalosome
HSPA8,GO8,GO:0005681,spliceosomal complex
HTATSF1,GO8,GO:0000724;GO:0005681;GO:0005684;GO:0005686;GO:0006281;GO:0006974,DNA damage response;DNA repair;double-strand break repair via homologous recombination;spliceosomal complex;U2 snRNP;U2-type spliceosomal complex
HTRA2,GO8,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
HUS1,GO8,GO:0000077;GO:0000724;GO:0006281;GO:0006289;GO:0006974;GO:0030896;GO:0031573,checkpoint clamp complex;DNA damage checkpoint signaling;DNA damage response;DNA repair;double-strand break repair via homologous recombination;mitotic intra-S DNA damage checkpoint signaling;nucleotide-excision repair
HUS1B,GO8,GO:0000077;GO:0000724;GO:0006289;GO:0030896;GO:0031573,checkpoint clamp complex;DNA damage checkpoint signaling;double-strand break repair via homologous recombination;mitotic intra-S DNA damage checkpoint signaling;nucleotide-excision repair
HUWE1,GO8,GO:0006281;GO:0006284;GO:0006974,base-excision repair;DNA damage response;DNA repair
HYAL2,GO8,GO:0090575,RNA polymerase II transcription regulator complex
IER3,GO8,GO:0006974;GO:0007095;GO:0008630,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage;mitotic G2 DNA damage checkpoint signaling
IFFO1,GO8,GO:0006303,double-strand break repair via nonhomologous end joining
IFI16,GO8,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
IGHMBP2,GO8,GO:0006974,DNA damage response
IK,GO8,GO:0000228;GO:0005681;GO:0071005,nuclear chromosome;spliceosomal complex;U2-type precatalytic spliceosome
IKBKE,GO8,GO:0006974;GO:0008630,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage
IKBKG,GO8,GO:0006974,DNA damage response
IMMP2L,GO8,GO:0006974,DNA damage response
IMP3,GO8,GO:0032040;GO:0034457,Mpp10 complex;small-subunit processome
IMP4,GO8,GO:0032040;GO:0034457,Mpp10 complex;small-subunit processome
INCENP,GO8,GO:0000795;GO:0000800;GO:0000801,central element;lateral element;synaptonemal complex
ING1,GO8,GO:0070822,Sin3-type complex
ING2,GO8,GO:0006974;GO:0016602;GO:0070822,CCAAT-binding factor complex;DNA damage response;Sin3-type complex
ING3,GO8,GO:0000812,Swr1 complex
INIP,GO8,GO:0000724;GO:0006281;GO:0006974;GO:0070876,DNA damage response;DNA repair;double-strand break repair via homologous recombination;SOSS complex
INO80,GO8,GO:0000724;GO:0006281;GO:0006302;GO:0006974;GO:0031011;GO:0070914,DNA damage response;DNA repair;double-strand break repair;double-strand break repair via homologous recombination;Ino80 complex;UV-damage excision repair
INO80B,GO8,GO:0006281;GO:0006974;GO:0031011,DNA damage response;DNA repair;Ino80 complex
INO80C,GO8,GO:0006281;GO:0006974;GO:0031011;GO:0071339,DNA damage response;DNA repair;Ino80 complex;MLL1 complex
INO80D,GO8,GO:0006281;GO:0006974;GO:0031011,DNA damage response;DNA repair;Ino80 complex
INO80E,GO8,GO:0006281;GO:0006974;GO:0031011,DNA damage response;DNA repair;Ino80 complex
INTS1,GO8,GO:0032039;GO:0160232,INTAC complex;integrator complex
INTS10,GO8,GO:0032039;GO:0160232,INTAC complex;integrator complex
INTS12,GO8,GO:0032039;GO:0160232,INTAC complex;integrator complex
INTS2,GO8,GO:0032039;GO:0160232,INTAC complex;integrator complex
INTS3,GO8,GO:0000724;GO:0006281;GO:0006974;GO:0032039;GO:0070876;GO:0160232,DNA damage response;DNA repair;double-strand break repair via homologous recombination;INTAC complex;integrator complex;SOSS complex
INTS4,GO8,GO:0032039;GO:0160232,INTAC complex;integrator complex
INTS5,GO8,GO:0032039;GO:0160232,INTAC complex;integrator complex
INTS6,GO8,GO:0032039;GO:0160232,INTAC complex;integrator complex
INTS7,GO8,GO:0000077;GO:0006974;GO:0032039;GO:0160232,DNA damage checkpoint signaling;DNA damage response;INTAC complex;integrator complex
INTS8,GO8,GO:0032039;GO:0160232,INTAC complex;integrator complex
INTS9,GO8,GO:0032039;GO:0160232,INTAC complex;integrator complex
IPO5,GO8,GO:0005643,nuclear pore
IPO7,GO8,GO:0005643,nuclear pore
IRF3,GO8,GO:0006974,DNA damage response
IRF7,GO8,GO:0006974,DNA damage response
IRF9,GO8,GO:0070721,ISGF3 complex
ISY1,GO8,GO:0005681;GO:0071006;GO:0071013;GO:0071014;GO:0071020,catalytic step 2 spliceosome;post-mRNA release spliceosomal complex;post-spliceosomal complex;spliceosomal complex;U2-type catalytic step 1 spliceosome
IVNS1ABP,GO8,GO:0005681,spliceosomal complex
JARID2,GO8,GO:0035097;GO:0035098,ESC/E(Z) complex;histone methyltransferase complex
JDP2,GO8,GO:0090575,RNA polymerase II transcription regulator complex
JMJD1C,GO8,GO:0000118,histone deacetylase complex
JMY,GO8,GO:0006281;GO:0006974,DNA damage response;DNA repair
JUN,GO8,GO:0000228;GO:0035976;GO:0090575,nuclear chromosome;RNA polymerase II transcription regulator complex;transcription factor AP-1 complex
JUNB,GO8,GO:0035976;GO:0090575,RNA polymerase II transcription regulator complex;transcription factor AP-1 complex
JUND,GO8,GO:0035976;GO:0090575,RNA polymerase II transcription regulator complex;transcription factor AP-1 complex
JUP,GO8,GO:0071664;GO:0071665,catenin-TCF7L2 complex;gamma-catenin-TCF7L2 complex
KANSL1,GO8,GO:0071339,MLL1 complex
KAT2A,GO8,GO:0033276,transcription factor TFTC complex
KAT5,GO8,GO:0000724;GO:0000812;GO:0006281;GO:0006289;GO:0006302;GO:0006974;GO:0030330;GO:0140861,"DNA damage response;DNA damage response, signal transduction by p53 class mediator;DNA repair;DNA repair-dependent chromatin remodeling;double-strand break repair;double-strand break repair via homologous recombination;nucleotide-excision repair;Swr1 complex"
KAT7,GO8,GO:0006281;GO:0006974;GO:0036409,DNA damage response;DNA repair;histone H3-K14 acetyltransferase complex
KAT8,GO8,GO:0071339,MLL1 complex
KDM1A,GO8,GO:0035097;GO:0140861,DNA repair-dependent chromatin remodeling;histone methyltransferase complex
KDM2A,GO8,GO:0006303,double-strand break repair via nonhomologous end joining
KDM2B,GO8,GO:0031519;GO:0035102,PcG protein complex;PRC1 complex
KDM3A,GO8,GO:0000118,histone deacetylase complex
KDM3B,GO8,GO:0000118,histone deacetylase complex
KDM4D,GO8,GO:0000724;GO:0006974,DNA damage response;double-strand break repair via homologous recombination
KDM6A,GO8,GO:0035097;GO:0044666,histone methyltransferase complex;MLL3/4 complex
KDM6B,GO8,GO:0044666,MLL3/4 complex
KIF22,GO8,GO:0006281,DNA repair
KIFAP3,GO8,GO:0000794,condensed nuclear chromosome
KIN,GO8,GO:0005681;GO:0006281;GO:0006974;GO:0071006,DNA damage response;DNA repair;spliceosomal complex;U2-type catalytic step 1 spliceosome
KMT2A,GO8,GO:0035097;GO:0044665;GO:0071339,histone methyltransferase complex;MLL1 complex;MLL1/2 complex
KMT2B,GO8,GO:0035097;GO:0044665,histone methyltransferase complex;MLL1/2 complex
KMT2C,GO8,GO:0035097;GO:0044666,histone methyltransferase complex;MLL3/4 complex
KMT2D,GO8,GO:0035097;GO:0044666,histone methyltransferase complex;MLL3/4 complex
KMT2E,GO8,GO:0034967;GO:0070210,Rpd3L-Expanded complex;Set3 complex
KPNA1,GO8,GO:0005643,nuclear pore
KPNA3,GO8,GO:0005643,nuclear pore
KPNA4,GO8,GO:0005643,nuclear pore
KPNB1,GO8,GO:0005643,nuclear pore
KRR1,GO8,GO:0032040,small-subunit processome
L3MBTL1,GO8,GO:0061793,chromatin lock complex
L3MBTL2,GO8,GO:0035102,PRC1 complex
LARP7,GO8,GO:0120259,7SK snRNP
LAS1L,GO8,GO:0071339,MLL1 complex
LAT,GO8,GO:0008180,COP9 signalosome
LCOR,GO8,GO:0035098,ESC/E(Z) complex
LDB1,GO8,GO:0090575;GO:1990907,beta-catenin-TCF complex;RNA polymerase II transcription regulator complex
LEF1,GO8,GO:0090575;GO:1990907,beta-catenin-TCF complex;RNA polymerase II transcription regulator complex
LEO1,GO8,GO:0016593,Cdc73/Paf1 complex
LGALS3,GO8,GO:0005681,spliceosomal complex
LIG1,GO8,GO:0006281;GO:0006284;GO:0006287;GO:0006298;GO:0006974,"base-excision repair;base-excision repair, gap-filling;DNA damage response;DNA repair;mismatch repair"
LIG3,GO8,GO:0000724;GO:0006281;GO:0006284;GO:0006287;GO:0006302;GO:0006974;GO:0043504;GO:0070421;GO:0097681,"base-excision repair;base-excision repair, gap-filling;DNA damage response;DNA ligase III-XRCC1 complex;DNA repair;double-strand break repair;double-strand break repair via alternative nonhomologous end joining;double-strand break repair via homologous recombination;mitochondrial DNA repair"
LIG4,GO8,GO:0000012;GO:0005958;GO:0006281;GO:0006284;GO:0006297;GO:0006302;GO:0006303;GO:0006974;GO:0032807;GO:0097680,"base-excision repair;DNA damage response;DNA ligase IV complex;DNA repair;DNA-dependent protein kinase-DNA ligase 4 complex;double-strand break repair;double-strand break repair via classical nonhomologous end joining;double-strand break repair via nonhomologous end joining;nucleotide-excision repair, DNA gap filling;single strand break repair"
LIN37,GO8,GO:0031523;GO:0070176;GO:0090575,DRM complex;Myb complex;RNA polymerase II transcription regulator complex
LIN52,GO8,GO:0070176;GO:0090575,DRM complex;RNA polymerase II transcription regulator complex
LIN54,GO8,GO:0070176;GO:0090571;GO:0090575,DRM complex;RNA polymerase II transcription regulator complex;RNA polymerase II transcription repressor complex
LIN9,GO8,GO:0070176;GO:0090575,DRM complex;RNA polymerase II transcription regulator complex
LMNA,GO8,GO:0006303,double-strand break repair via nonhomologous end joining
LMO4,GO8,GO:0090575,RNA polymerase II transcription regulator complex
LRIF1,GO8,GO:0001740,Barr body
LRPPRC,GO8,GO:0000794,condensed nuclear chromosome
LRWD1,GO8,GO:0005664,nuclear origin of replication recognition complex
LSM10,GO8,GO:0005683,U7 snRNP
LSM11,GO8,GO:0005683;GO:0005697;GO:0071204,histone pre-mRNA 3'end processing complex;telomerase holoenzyme complex;U7 snRNP
LSM2,GO8,GO:0005681;GO:0005688;GO:0005691;GO:0046540;GO:0071001;GO:0071002;GO:0071005;GO:0071009;GO:0071011;GO:0071013,catalytic step 2 spliceosome;precatalytic spliceosome;spliceosomal complex;U2-type precatalytic spliceosome;U4/U6 snRNP;U4/U6 x U5 tri-snRNP complex;U4atac/U6atac snRNP;U4atac/U6atac x U5 tri-snRNP complex;U6 snRNP;U6atac snRNP
LSM3,GO8,GO:0005681;GO:0005688;GO:0005691;GO:0046540;GO:0071001;GO:0071002;GO:0071005;GO:0071009;GO:0071011;GO:0071013,catalytic step 2 spliceosome;precatalytic spliceosome;spliceosomal complex;U2-type precatalytic spliceosome;U4/U6 snRNP;U4/U6 x U5 tri-snRNP complex;U4atac/U6atac snRNP;U4atac/U6atac x U5 tri-snRNP complex;U6 snRNP;U6atac snRNP
LSM4,GO8,GO:0005681;GO:0005688;GO:0005691;GO:0046540;GO:0071001;GO:0071002;GO:0071005;GO:0071009;GO:0071011;GO:0097526,precatalytic spliceosome;spliceosomal complex;spliceosomal tri-snRNP complex;U2-type precatalytic spliceosome;U4/U6 snRNP;U4/U6 x U5 tri-snRNP complex;U4atac/U6atac snRNP;U4atac/U6atac x U5 tri-snRNP complex;U6 snRNP;U6atac snRNP
LSM5,GO8,GO:0005681;GO:0005688;GO:0005691;GO:0046540;GO:0071001;GO:0071002;GO:0071005;GO:0071009;GO:0071011,precatalytic spliceosome;spliceosomal complex;U2-type precatalytic spliceosome;U4/U6 snRNP;U4/U6 x U5 tri-snRNP complex;U4atac/U6atac snRNP;U4atac/U6atac x U5 tri-snRNP complex;U6 snRNP;U6atac snRNP
LSM6,GO8,GO:0005681;GO:0005688;GO:0005691;GO:0030532;GO:0046540;GO:0071001;GO:0071002;GO:0071005;GO:0071009;GO:0071011,precatalytic spliceosome;small nuclear ribonucleoprotein complex;spliceosomal complex;U2-type precatalytic spliceosome;U4/U6 snRNP;U4/U6 x U5 tri-snRNP complex;U4atac/U6atac snRNP;U4atac/U6atac x U5 tri-snRNP complex;U6 snRNP;U6atac snRNP
LSM7,GO8,GO:0005681;GO:0005688;GO:0005689;GO:0005691;GO:0046540;GO:0071001;GO:0071002;GO:0071004;GO:0071005;GO:0071009;GO:0071011;GO:0071013;GO:0097526,catalytic step 2 spliceosome;precatalytic spliceosome;spliceosomal complex;spliceosomal tri-snRNP complex;U12-type spliceosomal complex;U2-type precatalytic spliceosome;U2-type prespliceosome;U4/U6 snRNP;U4/U6 x U5 tri-snRNP complex;U4atac/U6atac snRNP;U4atac/U6atac x U5 tri-snRNP complex;U6 snRNP;U6atac snRNP
LUC7L,GO8,GO:0005685;GO:0071004,U1 snRNP;U2-type prespliceosome
LUC7L2,GO8,GO:0005685;GO:0071004,U1 snRNP;U2-type prespliceosome
LUC7L3,GO8,GO:0005685;GO:0071004,U1 snRNP;U2-type prespliceosome
LUZP1,GO8,GO:0090537,CERF complex
LUZP4,GO8,GO:0000346,transcription export complex
LYN,GO8,GO:0000077;GO:0006974,DNA damage checkpoint signaling;DNA damage response
MACROD1,GO8,GO:0006974,DNA damage response
MACROD2,GO8,GO:0006974,DNA damage response
MAD1L1,GO8,GO:0044615,nuclear pore nuclear basket
MAD2L1,GO8,GO:0033597;GO:0044615,mitotic checkpoint complex;nuclear pore nuclear basket
MAD2L2,GO8,GO:0005680;GO:0006281;GO:0006302;GO:0006974;GO:0019985;GO:0042276;GO:0042772;GO:0043247,"anaphase-promoting complex;DNA damage response;DNA damage response, signal transduction resulting in transcription;DNA repair;double-strand break repair;error-prone translesion synthesis;telomere maintenance in response to DNA damage;translesion synthesis"
MAEL,GO8,GO:0006974;GO:0008630,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage
MAF,GO8,GO:0090575,RNA polymerase II transcription regulator complex
MAFB,GO8,GO:0090575,RNA polymerase II transcription regulator complex
MAFF,GO8,GO:0090575,RNA polymerase II transcription regulator complex
MAFG,GO8,GO:0090575,RNA polymerase II transcription regulator complex
MAFK,GO8,GO:0090575,RNA polymerase II transcription regulator complex
MAGOH,GO8,GO:0005681;GO:0035145;GO:0071006;GO:0071007;GO:0071013;GO:0071020;GO:1990501,catalytic step 2 spliceosome;exon-exon junction complex;exon-exon junction subcomplex mago-y14;post-spliceosomal complex;spliceosomal complex;U2-type catalytic step 1 spliceosome;U2-type catalytic step 2 spliceosome
MAGOHB,GO8,GO:0005681;GO:0035145;GO:0071005;GO:0071006;GO:0071013;GO:1990501,catalytic step 2 spliceosome;exon-exon junction complex;exon-exon junction subcomplex mago-y14;spliceosomal complex;U2-type catalytic step 1 spliceosome;U2-type precatalytic spliceosome
MAML1,GO8,GO:1990433,CSL-Notch-Mastermind transcription factor complex
MAP2K6,GO8,GO:0042770,signal transduction in response to DNA damage
MAP3K7,GO8,GO:0042770,signal transduction in response to DNA damage
MAPK1,GO8,GO:0006974,DNA damage response
MAPK12,GO8,GO:0042770,signal transduction in response to DNA damage
MAPK14,GO8,GO:0000077;GO:0006974;GO:0042770,DNA damage checkpoint signaling;DNA damage response;signal transduction in response to DNA damage
MAPK15,GO8,GO:0006974,DNA damage response
MAPK3,GO8,GO:0006974;GO:0042770,DNA damage response;signal transduction in response to DNA damage
MAPKAPK2,GO8,GO:0006974,DNA damage response
MAPT,GO8,GO:0006974,DNA damage response
MASTL,GO8,GO:0006974,DNA damage response
MAU2,GO8,GO:0032116;GO:0090694,Scc2-Scc4 cohesin loading complex;SMC loading complex
MAX,GO8,GO:0035102;GO:0070443;GO:0071339;GO:0071943;GO:0090571;GO:0090575,Mad-Max complex;MLL1 complex;Myc-Max complex;PRC1 complex;RNA polymerase II transcription regulator complex;RNA polymerase II transcription repressor complex
